trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
114,False,"{'a': 0.4, 'e': 0.6363541697250871}",35,17,29.092961929731132,"{0: 16, 1: 2, 2: 0, 3: 0, 4: 0}",1
115,False,"{'a': 0.4, 'e': 0.633813837098549}",20,0,-51.33820608566354,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",0
116,False,"{'a': 0.4, 'e': 0.631283645506926}",30,12,-77.88403561097303,"{0: 15, 1: 0, 2: 1, 3: 2, 4: 0}",1
117,False,"{'a': 0.4, 'e': 0.6287635544670984}",20,6,-349.27763563413424,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 1}",1
118,False,"{'a': 0.4, 'e': 0.6262535236575559}",20,1,-330.9235799073115,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 1}",1
119,False,"{'a': 0.4, 'e': 0.623753512917752}",20,11,13.752608885804793,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
120,False,"{'a': 0.4, 'e': 0.6212634822474616}",35,0,12.494622917220052,"{0: 29, 1: 1, 2: 5, 3: 0, 4: 0}",1
121,False,"{'a': 0.4, 'e': 0.6187833918061408}",25,0,-740.242002832122,"{0: 19, 1: 1, 2: 2, 3: 1, 4: 2}",0
122,False,"{'a': 0.4, 'e': 0.6163132019122897}",25,0,-345.2274945132325,"{0: 20, 1: 0, 2: 4, 3: 0, 4: 1}",0
123,False,"{'a': 0.4, 'e': 0.6138528730428171}",25,0,-322.62393499654604,"{0: 19, 1: 5, 2: 0, 3: 0, 4: 1}",0
124,False,"{'a': 0.4, 'e': 0.6114023658324087}",25,5,-695.1087451849218,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",1
125,False,"{'a': 0.4, 'e': 0.6089616410728969}",25,0,-380.2754141807445,"{0: 18, 1: 1, 2: 5, 3: 0, 4: 1}",0
126,False,"{'a': 0.4, 'e': 0.6065306597126334}",20,0,11.527853641607136,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
127,False,"{'a': 0.4, 'e': 0.6041093828558647}",30,0,-704.8991400800926,"{0: 22, 1: 2, 2: 4, 3: 0, 4: 2}",0
128,False,"{'a': 0.4, 'e': 0.6016977717621094}",20,0,-23.843917528117863,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
129,False,"{'a': 0.4, 'e': 0.5992957878455385}",30,13,-722.1593849507333,"{0: 10, 1: 1, 2: 4, 3: 0, 4: 2}",1
130,False,"{'a': 0.4, 'e': 0.596903392674358}",25,11,-701.4843142897805,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 2}",1
131,False,"{'a': 0.4, 'e': 0.5945205479701944}",25,14,4.936510306663674,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
132,False,"{'a': 0.4, 'e': 0.5921472156074813}",20,4,-322.10847513455235,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 1}",1
